LogID,LineID,LogTime,LoggedValue,CmdType,Description,UnitType
3,LBlue,12/10/2021 15:09:00,10.4,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 15:09:40,129.2,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 15:10:10,138.9,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 15:10:50,208.3,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 15:12:50,241.3,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 15:37:07,0,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 16:32:07,129.1,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 16:32:37,241.2,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 16:34:57,0,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 16:59:14,129.2,4,תפוקת קו,Kg/h
3,LBlue,12/10/2021 16:59:54,241.1,4,תפוקת קו,Kg/h
3,LBlue,18/10/2021 09:45:47,0,4,תפוקת קו,Kg/h
3,LBlue,18/10/2021 12:17:25,129.1,4,תפוקת קו,Kg/h
3,LBlue,18/10/2021 12:18:05,241.1,4,תפוקת קו,Kg/h
3,LBlue,18/10/2021 12:19:25,194.9,4,תפוקת קו,Kg/h
3,LBlue,18/10/2021 12:20:04,0,4,תפוקת קו,Kg/h
3,LBlue,18/10/2021 12:29:34,129.1,4,תפוקת קו,Kg/h
3,LBlue,18/10/2021 12:30:14,209.2,4,תפוקת קו,Kg/h
3,LBlue,18/10/2021 12:30:44,241.1,4,תפוקת קו,Kg/h
3,LBlue,19/10/2021 17:16:13,232.1,4,תפוקת קו,Kg/h
3,LBlue,20/10/2021 06:01:23,0,4,תפוקת קו,Kg/h
3,LBlue,20/10/2021 06:28:40,93.6,4,תפוקת קו,Kg/h
3,LBlue,20/10/2021 06:29:20,129.1,4,תפוקת קו,Kg/h
3,LBlue,20/10/2021 06:30:00,185.5,4,תפוקת קו,Kg/h
3,LBlue,20/10/2021 06:31:10,0,4,תפוקת קו,Kg/h
3,LBlue,20/10/2021 06:36:30,123.7,4,תפוקת קו,Kg/h
3,LBlue,20/10/2021 06:37:01,129.1,4,תפוקת קו,Kg/h
3,LBlue,20/10/2021 06:37:41,185.2,4,תפוקת קו,Kg/h
3,LBlue,20/10/2021 06:53:22,176.3,4,תפוקת קו,Kg/h
3,LBlue,20/10/2021 08:37:55,185.4,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 00:57:21,208.3,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 01:03:41,231.6,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 02:16:56,236.7,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 02:36:44,295.5,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 02:37:24,354.6,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 02:38:04,360.6,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 02:38:44,378.5,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 02:39:24,372.4,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 04:05:10,378.6,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 05:47:26,0,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 08:00:01,208.8,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 08:00:41,382.2,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 08:05:13,98,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 08:05:53,0,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 08:23:33,75.4,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 08:24:13,240.5,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 08:24:43,382.2,4,תפוקת קו,Kg/h
3,LBlue,21/10/2021 16:38:35,375.1,4,תפוקת קו,Kg/h
3,LBlue,22/10/2021 20:20:57,69.7,4,תפוקת קו,Kg/h
3,LBlue,22/10/2021 20:21:27,0,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 01:03:48,208.8,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 01:04:28,360,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 01:06:08,259.9,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 01:06:39,0,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 01:23:28,208.9,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 01:24:08,359.8,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 01:38:27,302.5,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 03:21:49,315,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 05:33:34,17.3,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 05:34:14,0,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 09:13:48,29.4,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 09:14:18,209,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 09:14:58,314.7,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 09:15:38,0,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 09:24:36,208.9,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 09:25:37,299.9,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 09:37:45,314.9,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 10:51:52,337.1,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 11:36:45,329.9,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 11:37:16,315,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 11:42:05,300.3,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 12:23:11,315.1,4,תפוקת קו,Kg/h
3,LBlue,23/10/2021 12:30:01,330,4,תפוקת קו,Kg/h
3,LBlue,24/10/2021 09:42:58,0,4,תפוקת קו,Kg/h
3,LBlue,24/10/2021 11:51:17,208.8,4,תפוקת קו,Kg/h
3,LBlue,24/10/2021 11:51:56,262.7,4,תפוקת קו,Kg/h
3,LBlue,24/10/2021 11:52:36,0,4,תפוקת קו,Kg/h
3,LBlue,24/10/2021 12:00:35,208.9,4,תפוקת קו,Kg/h
3,LBlue,24/10/2021 12:01:16,262.1,4,תפוקת קו,Kg/h
3,LBlue,24/10/2021 12:10:25,299.6,4,תפוקת קו,Kg/h
3,LBlue,24/10/2021 12:11:05,330,4,תפוקת קו,Kg/h
3,LBlue,24/10/2021 22:35:08,337.2,4,תפוקת קו,Kg/h
3,LBlue,24/10/2021 22:57:05,299.9,4,תפוקת קו,Kg/h
4,LKuhne,01/10/2021 18:45:16,254.7,4,תפוקת קו,Kg/h
4,LKuhne,01/10/2021 18:53:07,263.2,4,תפוקת קו,Kg/h
4,LKuhne,02/10/2021 08:19:13,268.3,4,תפוקת קו,Kg/h
4,LKuhne,02/10/2021 18:57:26,263,4,תפוקת קו,Kg/h
4,LKuhne,02/10/2021 19:23:05,271.4,4,תפוקת קו,Kg/h
4,LKuhne,02/10/2021 19:24:15,262.8,4,תפוקת קו,Kg/h
4,LKuhne,03/10/2021 17:36:43,254.8,4,תפוקת קו,Kg/h
4,LKuhne,03/10/2021 18:18:18,249.7,4,תפוקת קו,Kg/h
4,LKuhne,03/10/2021 18:20:38,228.8,4,תפוקת קו,Kg/h
4,LKuhne,03/10/2021 22:56:55,233.9,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 08:52:08,246.5,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 08:52:48,255.1,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 08:53:58,263.7,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 10:24:48,272.2,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 10:34:57,263.6,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 11:18:50,272.2,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 11:41:07,319.5,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 11:43:46,263.6,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 11:44:26,255.1,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 11:55:25,268,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 13:46:54,229.4,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 14:00:34,238,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 14:27:06,245.7,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 14:39:14,254.2,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 14:45:03,245.7,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 15:34:55,254.1,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 15:51:26,245.5,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 17:26:38,254.2,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 17:27:48,263,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 17:54:35,254.3,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 18:21:52,228.7,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 18:22:23,249.9,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 18:28:21,279.5,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 18:29:01,288.6,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 18:46:39,267.4,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 18:54:58,258.9,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 19:10:06,245.8,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 20:32:16,267.2,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 20:42:24,249.9,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 21:01:42,276.1,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 21:09:02,216.8,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 21:09:32,101,4,תפוקת קו,Kg/h
4,LKuhne,04/10/2021 21:10:12,2.2,4,תפוקת קו,Kg/h
4,LKuhne,05/10/2021 09:06:04,100.4,4,תפוקת קו,Kg/h
4,LKuhne,05/10/2021 09:06:34,108.9,4,תפוקת קו,Kg/h
